"sguid","TableCat","orig","region","hincomex2","agex2","statex","state2","rake_wt"
"13f9ac74bc745aa64a1d262ed86fc43a",1,1,2,2,2,"NE","WV",1.45994162857129
"14016e4d67324ec651486fd0270bb87f",1,1,6,1,3,"WE","WA",0.165163840042542
"1409c304561064167cead242cd186134",1,1,1,3,2,"GL","MI",1.5525754976524
"140e7e23bec2c8170afcdfed1351cae9",1,1,6,3,2,"WE","WA",1.30159292412056
"1424fc8582f9bb1bf75dfc91031c122d",1,1,2,3,2,"NE","NY",1.34053682141569
"14622754d7d651bf3cc075495f110cf0",1,1,2,1,3,"","",0.170105572211093
"149dff63efa04291d4d11b47182ea0fb",1,1,2,3,2,"NE","CT",1.34053682141569
"14cec8332cb49a4a744849f4e7517d9f",1,1,2,3,2,"","",1.34053682141569
"14e9d246f0e91547375fc36276617b3c",1,1,5,2,2,"SE","AL",2.10429293506982
"1546f613f6296a685b2fce543099fed1",1,1,2,1,3,"NE","NY",0.170105572211093
"155f2cd0a9a16b9bb382c27d6d5689ff",1,1,2,1,2,"NE","PA",0.441590903786401
"1567513210_5d6e5a7a6a6052.54080676",1,1,5,1,3,"SE","FL",0.245182373606338
"1567518984_5d6e71080c5365.57655079",1,1,1,1,1,"","01",1.4901943786471
"1567524523_5d6e86ab68ab53.75753899",1,1,1,1,1,"","",1.4901943786471
"1567525113_5d6e88f9d2b9a0.53109324",1,1,1,3,3,"GL","IA",0.598068803420894
"1567543353_5d6ed039d285d6.74096307",1,1,5,1,1,"SE","FL",1.85455469135124
"1567561970_5d6f18f2ae4465.00317273",1,1,2,1,3,"NE","PA",0.170105572211093
"1567598851_5d6fa903000f50.87030180",1,1,5,3,3,"SE","NC",0.744299751111666
"1567616641_5d6fee81657304.47261189",1,1,5,1,1,"SE","TN",1.85455469135124
"1567621237_5d7000750b6c99.98035160",1,1,6,2,2,"WE","AK",1.41752890559968
"1567621272_5d70009819ca13.32044666",1,1,5,3,2,"SE","GA",1.93218831993066
"1567621394_5d70011245d7b0.34728027",1,1,5,3,2,"SE","FL",1.93218831993066
"1567621446_5d700146c94847.91748654",1,1,5,2,3,"SE","NC",0.810596302483973
"1567621533_5d70019d6409d9.92176214",1,1,3,2,2,"NP","CO",1.56549850361658
"1567621619_5d7001f31dcee7.99804607",1,1,6,1,3,"WE","AZ",0.165163840042542
"1567621742_5d70026ec80ac8.39517508",1,1,3,2,3,"NP","MN",0.603046884503122
"1567621799_5d7002a72d2279.05587750",1,1,5,3,2,"SE","FL",1.93218831993066
"1567621983_5d70035fbf0fb0.12040370",1,1,1,1,1,"","",1.4901943786471
"1567622508_5d70056c9e9984.81505738",1,1,1,1,1,"GL","IL",1.4901943786471
"1567622554_5d70059acdb700.91069128",1,1,4,1,3,"SC","TX",0.32165157971102
"1567622707_5d7006338f26e7.52631075",1,1,1,1,1,"GL","IN",1.4901943786471
"1567622957_5d70072de49763.41317281",1,1,1,1,1,"","",1.4901943786471
"1567623461_5d700925cb5505.66204482",1,1,1,1,1,"GL","OH",1.4901943786471
"1567623493_5d700945440b86.15305454",1,1,1,1,1,"","",1.4901943786471
"1567623497_5d700949b7b179.25013910",1,1,4,2,3,"SC","TX",1.06341078833222
"1567623525_5d700965dcda04.25236390",1,1,1,1,1,"GL","IN",1.4901943786471
"1567623854_5d700aae4d7a09.58419294",1,1,5,1,3,"SE","NC",0.245182373606338
"1567623872_5d700ac0be0938.80614622",1,1,5,2,3,"SE","NC",0.810596302483973
"1567624014_5d700b4e59dd99.39231839",1,1,4,3,2,"SC","TX",2.53481282631979
"1567624053_5d700b7568bc00.38976811",1,1,5,1,1,"SE","FL",1.85455469135124
"1567624435_5d700cf3f1a231.44868795",1,1,4,3,2,"SC","MO",2.53481282631979
"1567624569_5d700d79279121.07644703",1,1,6,2,1,"WE","CA",4.13029189483873
"1567624849_5d700e9149bc02.04080339",1,1,5,2,3,"SE","GA",0.810596302483973
"1567624904_5d700ec8bc4306.33662454",1,1,5,1,1,"SE","AL",1.85455469135124
"1567624907_5d700ecbd80ae3.28849075",1,1,6,1,3,"WE","CA",0.165163840042542
"1567624959_5d700eff80abd7.71495612",1,1,5,3,2,"SE","AL",1.93218831993066
"1567625031_5d700f47eb2996.54625183",1,1,6,1,1,"WE","ID",1.24929606434222
"1567625712_5d7011f0924225.88795128",1,1,4,1,2,"SC","TX",0.835001522540664
"1567626080_5d70136061f6e6.54313982",1,1,1,1,1,"","",1.4901943786471
"1567626332_5d70145c27e642.63112778",1,1,5,3,3,"SE","FL",0.744299751111666
"1567626454_5d7014d66208d6.71632812",1,1,5,1,3,"SE","TN",0.245182373606338
"1567626533_5d70152578ec11.94911238",1,1,3,3,2,"NP","UT",1.43746047574717
"1567626763_5d70160bca77a3.34655378",1,1,6,1,3,"WE","WA",0.165163840042542
"1567626922_5d7016aa7b01f0.64179981",1,1,1,1,3,"GL","WI",0.197011927766503
"1567627899_5d701a7b541712.95461164",1,1,6,1,1,"WE","WA",1.24929606434222
"1567627929_5d701a9964ddd3.88301218",1,1,1,2,1,"GL","MI",4.92672468883593
